"Story","Title","Result","Date","Stability","Duration (s)"
"Create Account","Create account with valid username and password","ERROR","2022-10-20T15:01:06.7534233+07:00[Asia/Bangkok]","0.0","1.42"
"Create Account","Create account with invalid username and valid password","ERROR","2022-10-20T15:01:08.1946028+07:00[Asia/Bangkok]","0.0","0.09"
"Create Account","Create account with valid username and invalid password","ERROR","2022-10-20T15:01:08.2965362+07:00[Asia/Bangkok]","0.0","0.08"
"Create Account","Create account with invalid username and invalid password","ERROR","2022-10-20T15:01:08.3924804+07:00[Asia/Bangkok]","0.0","0.06"
